cnpj,nome,uf,city,ibge,bairro,cnae_match,match,tier,method,addr_sim,name_sim,tp_id,tp_name
61819623000185,SIMETRIA POR GIOVANNA MARCON,SC,Biguaçu,4202305,FUNDOS,principal,0,,,,,,
61827409000170,ESPACO FERNANDA DIAS,MA,São Luís,2111300,PLANALTO TURU III,secundario,0,,,,,,
53156025000226,GOLD FITNESS,MG,São Lourenço,3163706,SANTA CECILIA,principal,1,alta,num+rua+nome,100,100,e34549a9-afce-48cc-951e-7d0888ea7285,Gold Fitness Centro
61835921000169,,SP,Monte Mor,3531803,TERRA PRETA,principal,0,,,,,,
61836308000166,SS FISIOTERAPIA,RJ,Niterói,3303302,SANTA ROSA,secundario,0,,,,,,
61838968000186,STUDIO ANA CONSOLINE,SP,Itatiba,3523404,VILA CASSARO,principal,1,alta,num+rua+nome,100,100,9267604f-06cc-4b67-bee8-b31e1940e938,Studio ana consoline 
61840471000100,REEQUILIBRIO PILATES E FISIOTERAPIA,RS,Nova Prata,4313300,SAO PEREGRINO,secundario,0,,,,,,
61841705000126,BERESHIT CENTRO DE REABILITACAO E ASSESSORIA ESPORTIVA,RS,Porto Alegre,4314902,SANTA CECILIA,secundario,0,,,,,,
61845437000110,,BA,Salvador,2927408,SAO CRISTOVAO,principal,0,,,,,,
61846305000103,CLINICA FISIOGEMINI,SP,São José do Rio Preto,3549805,HIGIENOPOLIS,secundario,0,,,,,,
47166435000255,ALEGRA ESPACO SAUDE,SC,Quilombo,4214201,TRES PINHEIROS,secundario,0,,,,,,
61852164000131,DOJO ARTES MARCIAIS,SP,São Paulo,3550308,INDIANOPOLIS,secundario,0,,,,,,
61858066000101,,SP,São Carlos,3548906,VILA PRADO,principal,0,,,,,,
61861160000110,LARISSA ALVES STUDIO DE PILATES E FISIOTERAPIA,SE,Aracaju,2800308,GRAGERU,principal,0,,,,,,
61862863000162,L K FISIO,RN,Serra do Mel,2413359,VILA BRASILIA,secundario,0,,,,,,
61863612000100,ACADEMIA GAVIOES FRAGA MAIA,BA,Feira de Santana,2910800,MANGABEIRA,principal,0,,,,,,
46002653000100,FUSUIN PRIME CT,SC,Blumenau,4202404,AGUA VERDE,secundario,1,alta,num+rua+nome,100,100,efc9d54f-c6f5-40c6-89bc-bb4176d2778c,FUSUIN PRIME CT
61786300000213,,SC,Joinville,4209102,AMERICA,principal,0,,,,,,
61875227000175,J OKUYAMA PERSONAL,PR,Curitiba,4106902,SÍTIO CERCADO,principal,0,,,,,,
61875682000170,GENI SAUDE INTEGRADA,GO,Aparecida de Goiânia,5201405,SETOR SERRA DOURADA - 3ª ETAPA,secundario,0,,,,,,
61876566000176,LEELA YOGA,SP,Santos,3548500,BOQUEIRAO,principal,0,,,,,,
